Registration Series,Registration Zone / City
AN-01,Port Blair
AN-02,Car Nicobar
AP-01,Adilabad
AP-02,Anantapur
AP-03,Chittoor
AP-04,Kadapa
AP-05,Kakinada
AP-07,Guntur
AP-09,Hyderabad 
AP-10,Hyderabad 
AP-11,Hyderabad 
AP-12,Hyderabad 
AP-13,Hyderabad 
AP-15,Karimnagar
AP-16,Vijayawada
AP-20,Khammam
AP-21,Kurnool
AP-22,Mahbubnagar
AP-23,Medak
AP-24,Nalgonda
AP-25,Nizamabad
AP-26,Nellore
AP-27,Ongole
AP-28,Attapur
AP-29,Uppal Kalan 
AP-30,Srikakulam
AP-31,Visakhapatnam
AP-35,Vizianagaram
AP-36,Warangal
AP-37,Eluru
AR-01,Itanagar
AR-02,Itanagar
AR-03,Tawang
AR-04,Bomdila
AR-05,Seppa
AR-06,Ziro
AR-07,Daporijo
AR-08,Along
AR-09,Pasighat
AR-10,Anini
AR-11,Lohit
AR-12,Changlang
AR-13,Khonsa
AR-14,Yingkiong
AR-15,Kurung Kumey
AS-01,"Guwahati, Kamrup"
AS-02,Nagaon
AS-03,Jorhat
AS-04,Sibsagar
AS-05,Golaghat
AS-06,Dibrugarh
AS-07,Lakhimpur
AS-08,Dima Hasao
AS-09,Karbi Anglong
AS-10,Karimganj
AS-11,Cachar
AS-12,Sonitpur
AS-13,Darrang
AS-14,Nalbari
AS-15,Barpeta
AS-16,Kokrajhar
AS-17,Dhubri
AS-18,Goalpara
AS-19,Bongaigaon
AS-20,Assam State Transport Corporation (ASTC)
AS-21,Marigaon
AS-22,Dhemaji
AS-23,Tinsukia
AS-24,Hailakandi
AS-25,Kamrup
AS-26,Chirang
AS-27,Udalguri
AS-28,Baksa
BR-01,Patna
BR-02,Gaya
BR-03,Bhojpur
BR-04,Chapra
BR-05,Motihari
BR-06,Muzaffarpur
BR-07,Darbhanga
BR-08,Munger
BR-09,Begusarai
BR-10,Bhagalpur
BR-11,Purnea
BR-19,Saharsa
BR-21,Nalanda
BR-22,Bettiah
BR-24,Dehri
BR-25,Jehanabad
BR-26,Aurangabad
BR-27,Nawada
BR-28,Gopalganj
BR-29,Siwan
BR-30,Sitamarhi
BR-31,Vaishali
BR-32,Madhubani
BR-33,Samastipur
BR-34,Khagaria
BR-37,Kishanganj
BR-38,Araria
BR-39,Katihar
BR-43,Madhepura
BR-44,Buxar
BR-45,Bhabua
BR-46,Jamui
BR-50,Supaul
BR-51,Banka
BR-52,Sheikhpura
BR-53,Lakhisarai
BR-55,Sheohar
BR-56,Arwal
BR-57,Rohtas
CG-01,Government of Chhattisgarh
CG-02,Government of Chhattisgarh
CG-03,Government of Chhattisgarh
CG-04,Raipur
CG-05,Dhamtari
CG-06,Mahasamund
CG-07,Durg
CG-08,Rajnandgaon
CG-09,Kabirdham
CG-10,Bilaspur
CG-11,Janjgir-Champa
CG-12,Korba
CG-13,Raigarh
CG-14,Jashpur
CG-15,Ambikapur
CG-16,Baikunthpur
CG-17,Jagdalpur
CG-18,Dantewada
CG-19,Kanker
CG-20,Bijapur
CG-21,Narayanpur
CG-22,Bemetara
CG-23,Mungeli
CG-24,Baloda Bazar
CG-26,Sukma
CH-01,Chandigarh
CH-02,Chandigarh
CH-03,Chandigarh
CH-04,Chandigarh
DD-02,Diu
DD-03,Daman
DL-01,Delhi North: Mall Road
DL-02,Delhi New: Tilak Marg
DL-03,Delhi South: Sheikh Sarai
DL-04,Delhi West 1: West Janakpuri
DL-05,Delhi North East : Loni Road
DL-06,Delhi Central: Sarai Kale Khan
DL-07,Delhi East 1: Mayur Vihar
DL-08,Delhi North West  1: Wazir Pur
DL-09,Delhi South West 1: Janakpuri / Palam
DL-10,DelhiWest-II: Raja Garden
DL-11,Delhi North West Zone II: Rohini
DL-12,Delhi South West II: Vasant Vihar
DL-13,Delhi East-II: Surajmal Vihar / Shahdara
DN-09,Dadra & Nagar Haveli
GA-03,Mapusa
GA-04,Bicholim
GA-05,Ponda
GA-06,Vasco
GA-07,Panaji
GA-08,Margao
GA-09,Quepem
GA-10,Canacona
GA-11,Pernem
GJ-01,Ahmedabad west
GJ-02,Mehsana
GJ-03,Rajkot
GJ-04,Bhavnagar
GJ-05,Surat City
GJ-06,Vadodara City
GJ-07,Kheda (Nadiad)
GJ-08,Banaskantha (Palanpur)
GJ-09,Sabarkantha (Himmatnagar)
GJ-10,Jamnagar
GJ-11,Junagadh
GJ-12,Kutch
GJ-13,Surendranagar
GJ-14,Amreli
GJ-15,Valsad
GJ-16,Bharuch
GJ-17,Panchmahal (Godhara)
GJ-18,Gandhinagar
GJ-19,Bardoli
GJ-20,Dahod
GJ-21,Navsari
GJ-22,Narmada
GJ-23,Anand
GJ-24,Patan
GJ-25,Porbandar (Sudamapuri)
GJ-26,Vyara
GJ-27,Ahmedabad East (Vastral)
GJ-28,Surat rural
GJ-29,Vadodara rural
GJ-30,Dang
GJ-31,Gandhidham
GJ-32,Botad
GJ-33,Aravalli 
GJ-34,Dwarka
GJ-35,Mahisagar
GJ-36,Morbi
GJ-37,Chhota Udaipur
HP-03,Shimla - Urban
HP-04,Dharamsala
HP-05,Mandi
HP-06,Rampur
HP-07,Shimla
HP-08,Chaupal
HP-09,Theog
HP-10,Rohru
HP-11,Arki
HP-12,Nalagarh
HP-13,Kandaghat
HP-14,Solanadaun
HP-15,Parwanoo
HP-16,Rajgarh
HP-17,Paonta Sahib
HP-18,Nahan
HP-19,Amb
HP-20,Una
HP-21,Barsar
HP-22,Hamirpur
HP-23,Ghumarwin
HP-24,Bilaspur
HP-25,Kalpa
HP-26,Nichar
HP-27,Pooh
HP-28,Sarkaghat
HP-29,Jogindernagar
HP-30,Karsog
HP-31,Sundernagar
HP-32,Gohar 
HP-33,Mandi
HP-34,Kullu
HP-35,Anni
HP-36,Dehra
HP-37,Palampur
HP-38,Nurpur
HP-39,Dharamshala
HP-40,Kangra
HP-41,Kaza
HP-42,Keylong
HP-43,Udaipur
HP-44,Churah
HP-45,Pangi
HP-46,Bharmour
HP-47,Dalhousie
HP-48,Chamba
HP-49,Banjar
HP-50,Shimla 
HP-51,Shimla
HP-52,Shimla
HP-53,Baijnath
HP-54,Jawali
HP-55,Nadaun
HP-56,Jaisinghpur
HP-57,Chowari
HP-58,Manali
HP-62,DodraKwar
HP-63,Shimla
HP-64,Solan
HP-65,Mandi
HP-66,Kullu
HP-67,Hamirpur
HP-68,Dharamshala
HP-69,Bilaspur
HP-71,Nahan
HP-72,Una
HP-73,Chamba
HP-74,Bhoranj
HP-76,Paddhar
HR-01,Ambala
HR-02,Yamuna Nagar
HR-03,Panchkula
HR-04,Naraingarh
HR-05,Karnal
HR-06,Panipat
HR-07,Kurukshetra
HR-08,Kaithal
HR-09,Guhla
HR-10,Sonepat
HR-11,Gohana
HR-12,Rohtak
HR-13,Bahadurgarh
HR-14,Jhajjar
HR-15,Meham
HR-16,Bhiwani
HR-17,Siwani
HR-18,Loharu
HR-19,Charkhi Dadri
HR-20,Hisar
HR-21,Hansi
HR-22,Fatehabad
HR-23,Tohana
HR-24,Sirsa
HR-25,Dabwali
HR-26,Gurgaon
HR-27,Nuh
HR-28,Ferozepur Jhirka
HR-29,Ballabgarh
HR-30,Palwal
HR-31,Jind
HR-32,Narwana
HR-33,Safidon
HR-34,Mohindergarh
HR-35,Narnaul
HR-36,Rewari
HR-37,Ambala
HR-38,Farida
HR-39,Hisar
HR-40,Assandh
HR-41,Pehowa
HR-42,Ganaur
HR-43,Kosli
HR-44,Ellenabad
HR-45,Karnal
HR-46,Rohtak
HR-47,Rewari
HR-48,Tosham
HR-49,Kalka
HR-50,Hodal
HR-51,Faridabad
HR-52,Hatin
HR-53,Adampur
HR-54,Ambala - Barara
HR-55,Gurgaon
HR-56,Jind
HR-57,Sirsa
HR-58,"Jagadhari, Yamuna Nagar"
HR-59,Ratia
HR-60,Samalkha
HR-61,Bhiwani
HR-62,Fatehabad
HR-63,Jhajjar
HR-64,Kaithal
HR-65,Kurukshetra
HR-66,Narnaul
HR-67,Panipat
HR-68,Panchkula
HR-69,Sonipat
HR-70,VIP Series of Transport Commissioner in Chandigarh
HR-71,Bilaspur
HR-72,Gurgaon
HR-73,Palwal
HR-74,Mewat
HR-75,Indri
HR-76,Pataudi
HR-77,Beri
HR-78,Sahabad
HR-79,Kharkhoda
HR-80,Barwala
HR-86,Sonipat
HR-88,Kundli
JH-01,Ranchi
JH-02,Hazaribagh
JH-03,Daltonganj
JH-04,Dumka
JH-05,Jamshedpur
JH-06,Chaibasa
JH-07,Gumla
JH-08,Lohardaga
JH-09,Bokaro Steel City
JH-10,Dhanbad
JH-11,Giridih
JH-12,Koderma
JH-13,Chatra
JH-14,Garhwa
JH-15,Deoghar
JH-16,Pakur
