Andaman and Nicobar Islands,db.and.nic.in,AN
Arunachal Pradesh,www.arunachalpradesh.gov.in,AR
Andhra Pradesh,www.aptransport.org,AP
Assam,transport.assam.gov.in,AS
Bihar,transport.bih.nic.in,BR
Chandigarh,chdtransport.gov.in,CH
Chhattisgarh,www.cgtransport.gov.in,CG
Daman and Diu,daman.nic.in,DD
Dadra and Nagar Haveli,dnh.nic.in/,DN
Gujarat,rtogujarat.com,GJ
Goa,www.goa.gov.in,GA
Himachal Pradesh,himachal.nic.in,HP
Haryana,haryanatransport.gov.in,HR
Jharkhand,jhtransport.gov.in,JH
Jammu & Kashmir,jaktrans.nic.in,JK
Kerala,mvd.kerala.gov.in,KL
Karnataka,www.karnatakaone.gov.in,KA
Lakshadweep,lakshadweep.gov.in,LD
Leh-Ladakh,Online Services,LA
Maharashtra,transport.maharashtra.gov.in,MH
Manipur,manipur.gov.in,MN
Madhya Pradesh,www.transport.mp.gov.in,MP
Mizoram,transport.mizoram.gov.in,MZ
Meghalaya,megtransport.gov.in,ML
National Capital Territory of Delhi,transport.delhi.gov.in,DL
Nagaland,dimapur.nic.in/,NL
Orissa,odishatransport.gov.in,OR
Puducherry,www.py.gov.in,PY
Punjab,www.punjabtransport.org,PN
Rajasthan,www.transport.rajasthan.gov.in,RJ
Sikkim,sikkim.gov.in/,SK
Tamil Nadu,tnsta.gov.in,TN
Telangana,telangana.gov.in,TS
Tripura,tsu.trp.nic.in,TR
Uttarakhand,transport.uk.gov.in,UK
Uttar Pradesh,uptransport.upsdc.gov.in,UP
West Bengal,transport.wb.gov.in,WB
